country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Mayotte,Africa,18845,137.0,2964.0,15744.0,23.0,67933,494.0,143569.0,517545.0,277404
Mexico,North America,2167729,194944.0,1711931.0,260854.0,4798.0,16690,1501.0,5776241.0,44472.0,129883602
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115869
Moldova,Europe,205324,4369.0,179474.0,21481.0,330.0,50982,1085.0,774027.0,192193.0,4027346
Monaco,Europe,2120,27.0,1922.0,171.0,6.0,53755,685.0,51953.0,1317334.0,39438
Mongolia,Asia,4210,4.0,3083.0,1123.0,8.0,1270,1.0,2044869.0,616807.0,3315248
Montenegro,Europe,84163,1136.0,74290.0,8737.0,69.0,133991,1809.0,309613.0,492919.0,628122
Montserrat,North America,20,1.0,18.0,1.0,,4005,200.0,947.0,189628.0,4994
Morocco,Africa,489096,8733.0,476126.0,4237.0,262.0,13142,235.0,5805216.0,155981.0,37217457
Mozambique,Africa,64516,725.0,50380.0,13411.0,,2025,23.0,450293.0,14131.0,31864760
Myanmar,Asia,142147,3202.0,131739.0,7206.0,,2600,59.0,2513472.0,45978.0,54666275
Namibia,Africa,41424,465.0,38514.0,2445.0,25.0,16099,181.0,324162.0,125982.0,2573086
Nepal,Asia,275310,3014.0,271401.0,895.0,,9331,102.0,2218722.0,75202.0,29503331
Netherlands,Europe,1162661,16087.0,,,564.0,67748,937.0,6970400.0,406163.0,17161582
New Caledonia,Australia/Oceania,93,,58.0,35.0,,324,,25517.0,88778.0,287425
New Zealand,Australia/Oceania,2432,26.0,2311.0,95.0,,486,5.0,1824252.0,364697.0,5002100
Nicaragua,North America,6537,175.0,4225.0,2137.0,,979,26.0,,,6679841
Niger,Africa,4865,182.0,4507.0,176.0,1.0,196,7.0,84573.0,3408.0,24813762
Nigeria,Africa,160895,2016.0,145752.0,13127.0,10.0,767,10.0,1684305.0,8032.0,209700684
Norway,Europe,81305,640.0,70224.0,10441.0,27.0,14916,117.0,4210260.0,772378.0,5451033
Oman,Asia,147423,1609.0,136770.0,9044.0,86.0,28366,310.0,1550000.0,298242.0,5197118
Pakistan,Asia,609964,13595.0,573014.0,23355.0,1895.0,2724,61.0,9565066.0,42722.0,223890015
Panama,North America,348155,6005.0,336277.0,5873.0,111.0,79810,1377.0,2020905.0,463263.0,4362324
Papua New Guinea,Australia/Oceania,2269,26.0,846.0,1397.0,,250,3.0,54410.0,6002.0,9065502
Paraguay,South America,181414,3517.0,150870.0,27027.0,353.0,25217,489.0,816274.0,113466.0,7193985
Peru,South America,1418974,49177.0,1329788.0,40009.0,2245.0,42620,1477.0,8329451.0,250181.0,33293729
Philippines,Asia,631320,12848.0,560736.0,57736.0,785.0,5708,116.0,9360101.0,84628.0,110603486
Poland,Europe,1917527,47206.0,1574455.0,295866.0,2084.0,50705,1248.0,10668987.0,282119.0,37817368
Portugal,Europe,814513,16694.0,761788.0,36031.0,231.0,80045,1641.0,8505802.0,835892.0,10175719
Qatar,Asia,170733,267.0,158508.0,11958.0,118.0,60807,95.0,1629260.0,580261.0,2807805
Reunion,Africa,13801,71.0,12389.0,1341.0,58.0,15338,79.0,98785.0,109785.0,899804
Romania,Europe,862681,21565.0,787392.0,53724.0,1225.0,45056,1126.0,6774562.0,353819.0,19146957
Russia,Europe,4409438,92937.0,4014220.0,302281.0,2300.0,30206,637.0,115700000.0,792582.0,145978580
Rwanda,Africa,20302,282.0,18635.0,1385.0,13.0,1541,21.0,1065729.0,80884.0,13176002
Saint Barthelemy,North America,712,1.0,462.0,249.0,,71934,101.0,19114.0,1931097.0,9898
Saint Kitts And Nevis,North America,43,,41.0,2.0,,804,,10465.0,195739.0,53464
Saint Lucia,North America,4053,55.0,3790.0,208.0,3.0,22001,299.0,33885.0,183940.0,184218
Saint Martin,North America,1602,12.0,1399.0,191.0,7.0,40944,307.0,22204.0,567485.0,39127
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,3729.0,645826.0,5774
Saint Vincent And The Grenadines,North America,1680,9.0,1129.0,542.0,2.0,15110,81.0,38248.0,343994.0,111188
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199341
San Marino,Europe,4151,77.0,3624.0,450.0,9.0,122156,2266.0,47669.0,1402813.0,33981
Sao Tome And Principe,Africa,2084,32.0,1854.0,198.0,,9387,144.0,11592.0,52215.0,222005
Saudi Arabia,Asia,382752,6573.0,372926.0,3253.0,567.0,10876,187.0,14352790.0,407825.0,35193520
Senegal,Africa,36996,978.0,32765.0,3253.0,44.0,2170,57.0,414437.0,24305.0,17051222
Serbia,Europe,520911,4747.0,445182.0,70982.0,219.0,59789,545.0,3164313.0,363192.0,8712513
Seychelles,Africa,3342,16.0,2903.0,423.0,,33834,162.0,5200.0,52645.0,98775
Sierra Leone,Africa,3938,79.0,2780.0,1079.0,,487,10.0,116448.0,14394.0,8090305
Singapore,Asia,60128,30.0,59974.0,124.0,,10221,5.0,7805264.0,1326822.0,5882677
Sint Maarten,North America,2085,27.0,2048.0,10.0,1.0,48244,625.0,22027.0,509672.0,43218
Slovakia,Europe,337960,8605.0,255300.0,74055.0,668.0,61880,1576.0,2200380.0,402889.0,5461506
Slovenia,Europe,200579,3938.0,186386.0,10255.0,87.0,96472,1894.0,976907.0,469861.0,2079139
Solomon Islands,Australia/Oceania,18,,16.0,2.0,,26,,4500.0,6441.0,698626
Somalia,Africa,9328,379.0,4259.0,4690.0,,576,23.0,,,16201781
South Africa,Africa,1530033,51421.0,1455325.0,23287.0,546.0,25572,859.0,9465515.0,158199.0,59833051
South Korea,Asia,96380,1678.0,88255.0,6447.0,103.0,1879,33.0,7126077.0,138909.0,51300288
South Sudan,Africa,9613,106.0,7906.0,1601.0,2.0,852,9.0,121922.0,10803.0,11285791
Spain,Europe,3195062,72424.0,2857714.0,264924.0,2112.0,68318,1549.0,41114319.0,879121.0,46767546
Sri Lanka,Asia,88238,532.0,84969.0,2737.0,,4109,25.0,2236856.0,104154.0,21476449
State Of Palestine,Asia,211602,2293.0,187634.0,21675.0,181.0,40817,442.0,1295750.0,249945.0,5184135
Sudan,Africa,29135,1959.0,23583.0,3593.0,,654,44.0,,,44563377
Suriname,South America,9028,176.0,8519.0,333.0,4.0,15293,298.0,42770.0,72452.0,590324
Swaziland,Africa,17239,663.0,15791.0,785.0,36.0,14752,567.0,154809.0,132474.0,1168596
Sweden,Europe,712527,13146.0,,,250.0,70244,1296.0,6627544.0,653375.0,10143554
Switzerland,Europe,573815,10118.0,530686.0,33011.0,164.0,65962,1163.0,5458758.0,627507.0,8699113
Syria,Asia,16556,1104.0,11058.0,4394.0,,930,62.0,,,17797049
Taiwan,Asia,990,10.0,951.0,29.0,,42,,444634.0,18645.0,23847150
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1374,9.0,,,9687135
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60917855
Thailand,Asia,27154,87.0,26299.0,768.0,1.0,388,1.0,1600951.0,22896.0,69923356
Timor Leste,Asia,203,,104.0,99.0,,152,,24853.0,18603.0,1335999
Togo,Africa,8222,96.0,6813.0,1313.0,,977,11.0,253638.0,30145.0,8414056
Trinidad And Tobago,North America,7788,140.0,7542.0,106.0,2.0,5552,100.0,103342.0,73675.0,1402679
Tunisia,Africa,242124,8404.0,209166.0,24554.0,270.0,20337,706.0,1037974.0,87185.0,11905426
Turkey,Asia,2894893,29552.0,2716969.0,148372.0,1425.0,34067,348.0,35277116.0,415142.0,84976014
Turks And Caicos Islands,North America,2233,15.0,2098.0,120.0,7.0,57133,384.0,17910.0,458244.0,39084
Uganda,Africa,40591,334.0,15099.0,25158.0,,868,7.0,903648.0,19332.0,46744315
UK,Europe,4263527,125580.0,3526715.0,611232.0,1110.0,62573,1843.0,106046223.0,1556370.0,68136918
Ukraine,Europe,1477190,28697.0,1232209.0,216284.0,177.0,33921,659.0,7328468.0,168285.0,43548043
United Arab Emirates,Asia,428295,1402.0,408085.0,18808.0,,42940,141.0,34030998.0,3411896.0,9974219
Uruguay,South America,72862,717.0,61609.0,10536.0,131.0,20924,206.0,1151115.0,330571.0,3482207
USA,North America,30138586,548013.0,22286551.0,7304022.0,9286.0,90678,1649.0,381627499.0,1148208.0,332367957
Uzbekistan,Asia,80743,622.0,79371.0,750.0,23.0,2388,18.0,1377915.0,40756.0,33809036
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1506.0,312151
Venezuela,South America,146488,1444.0,137948.0,7096.0,139.0,5162,51.0,3006349.0,105935.0,28379060
Viet Nam,Asia,2557,35.0,2115.0,407.0,,26,,2598753.0,26530.0,97953767
Wallis And Futuna Islands,Australia/Oceania,233,,7.0,226.0,1.0,20993,,1331.0,119921.0,11099
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,607576
Yemen,Asia,2908,698.0,1500.0,710.0,23.0,96,23.0,17404.0,575.0,30284463
Zambia,Africa,84950,1164.0,82375.0,1411.0,149.0,4533,62.0,1165041.0,62161.0,18742215
Zimbabwe,Africa,36504,1504.0,34051.0,949.0,22.0,2431,100.0,360300.0,23997.0,15014503
